2024.03.22 14:52:49 | E | index.js | Toto je chybová zpráva.
2024.03.22 14:52:49 | I | index.js | Toto je informační zpráva.
2024.03.22 14:52:49 | W | index.js | Toto je varovná zpráva.
2024.03.22 16:22:20 | E | index.js | Toto je chybová zpráva.
2024.03.22 16:22:20 | I | index.js | Toto je informační zpráva.
2024.03.22 16:22:20 | W | index.js | Toto je varovná zpráva.
2024.03.22 16:22:20 | I | envConf.js | .env soubor byl úspěšně načten:
2024.03.22 16:24:26 | I | index.js | ------------------- STARTUP -------------------
2024.03.22 16:24:26 | E | index.js | Toto je chybová zpráva.
2024.03.22 16:24:26 | I | index.js | Toto je informační zpráva.
2024.03.22 16:24:26 | W | index.js | Toto je varovná zpráva.
2024.03.22 16:24:26 | I | envConf.js | .env soubor byl úspěšně načten:
2024.03.22 16:27:13 | I | index.js | ------------------- STARTUP -------------------
2024.03.22 16:27:13 | E | index.js | Toto je chybová zpráva.
2024.03.22 16:27:13 | I | index.js | Toto je informační zpráva.
2024.03.22 16:27:13 | W | index.js | Toto je varovná zpráva.
2024.03.22 16:27:13 | I | envConf.js | .env soubor byl úspěšně načten 
2024.03.22 16:28:13 | I | index.js | ------------------- STARTUP -------------------
2024.03.22 16:28:13 | E | index.js | Toto je chybová zpráva.
2024.03.22 16:28:13 | I | index.js | Toto je informační zpráva.
2024.03.22 16:28:13 | W | index.js | Toto je varovná zpráva.
2024.03.22 16:28:13 | I | envConf.js | .env soubor byl úspěšně načten 
2024.03.22 16:29:05 | I | index.js | ------------------- STARTUP -------------------
2024.03.22 16:29:05 | E | index.js | Toto je chybová zpráva.
2024.03.22 16:29:05 | I | index.js | Toto je informační zpráva.
2024.03.22 16:29:05 | W | index.js | Toto je varovná zpráva.
2024.03.22 16:29:05 | I | envConf.js | .env soubor byl úspěšně načten 
2024.03.22 16:30:10 | I | index.js | ------------------- STARTUP -------------------
2024.03.22 16:30:10 | E | index.js | Toto je chybová zpráva.
2024.03.22 16:30:10 | W | index.js | Toto je varovná zpráva.
2024.03.22 16:30:10 | I | index.js | Toto je informační zpráva.
2024.03.22 16:30:10 | I | envConf.js | .env soubor byl úspěšně načten 
2024.03.22 16:31:50 | I | index.js | ------------------- STARTUP -------------------
2024.03.22 16:31:50 | I | index.js | Toto je informační zpráva.
2024.03.22 16:31:50 | E | index.js | Toto je chybová zpráva.
2024.03.22 16:31:50 | W | index.js | Toto je varovná zpráva.
2024.03.22 16:31:50 | I | envConf.js | .env soubor byl úspěšně načten 
2024.03.22 16:36:05 | I | index.js | ------------------- STARTUP -------------------
2024.03.22 16:36:05 | I | index.js | Toto je informační zpráva.
2024.03.22 16:36:05 | E | index.js | Toto je chybová zpráva.
2024.03.22 16:36:05 | W | index.js | Toto je varovná zpráva.
2024.03.22 16:36:05 | I | envConf.js | .env soubor byl úspěšně načten 
2024.03.22 16:43:39 | I | index.js | ------------------- STARTUP -------------------
